read_id	flowcell	lane	tile	x_coord	y_coord	chromosome	position	is_paired
READ_00043	HWI-ST1234	5	2316	17000	18000	chr7	78901234	true
READ_00044	HWI-ST1234	5	2316	17050	18040	chr7	78901234	true
READ_00045	HWI-ST1234	5	2316	19000	11000	chr8	89012345	true
READ_00046	HWI-ST1234	5	2316	12000	13000	chr9	90123456	true
READ_00047	HWI-ST1234	5	2316	12055	13045	chr9	90123456	true
READ_00048	HWI-ST1234	5	2316	12070	13030	chr9	90123456	true
READ_00049	HWI-ST1234	5	2316	14000	15000	chr10	11234567	true
READ_00050	HWI-ST1234	5	2316	16000	17000	chr11	22345678	true
READ_00051	HWI-ST5678	2	1205	5000	6000	chr1	12345678	true
READ_00052	HWI-ST5678	2	1205	8000	9000	chr2	23456789	true
READ_00053	HWI-ST5678	2	1205	8060	9040	chr2	23456789	true
READ_00054	HWI-ST5678	2	1205	10000	11000	chr3	34567890	true
READ_00055	HWI-ST5678	2	1205	12000	13000	chr4	45678901	true
READ_00056	HWI-ST5678	2	1205	14000	15000	chr5	56789012	true
READ_00057	HWI-ST5678	2	1205	16000	17000	chr6	67890123	true
READ_00058	HWI-ST5678	2	1205	18000	19000	chr7	78901234	true
READ_00059	HWI-ST5678	2	1205	11000	12000	chr8	89012345	true
READ_00060	HWI-ST5678	2	1205	13000	14000	chr9	90123456	true
READ_00061	HWI-ST5678	2	1205	15000	16000	chr10	11234567	true
READ_00062	HWI-ST5678	2	1205	17000	18000	chr11	22345678	true
READ_00063	HWI-ST5678	2	1205	19000	10000	chr12	33456789	true
READ_00064	HWI-ST5678	2	1205	10500	11500	chr1	44567890	true
READ_00065	HWI-ST5678	2	1205	12500	13500	chr2	55678901	true
READ_00066	HWI-ST5678	2	1205	14500	15500	chr3	66789012	true
READ_00067	HWI-ST5678	2	1205	16500	17500	chr4	77890123	true
READ_00068	HWI-ST5678	2	1205	18500	19500	chr5	88901234	true
READ_00069	HWI-ST5678	2	1205	11500	12500	chr6	99012345	true
READ_00070	HWI-ST5678	2	1205	13500	14500	chr7	10123456	true
READ_00071	HWI-ST5678	4	1108	5000	6000	chr1	12345678	true
READ_00072	HWI-ST5678	4	1108	5050	6040	chr1	12345678	true
READ_00073	HWI-ST5678	4	1108	5070	6030	chr1	12345678	true
READ_00074	HWI-ST5678	4	1108	5045	6020	chr1	12345678	true
READ_00075	HWI-ST5678	4	1108	7000	8000	chr2	23456789	true
READ_00076	HWI-ST5678	4	1108	7055	8045	chr2	23456789	true
READ_00077	HWI-ST5678	4	1108	7040	8025	chr2	23456789	true
READ_00078	HWI-ST5678	4	1108	9000	10000	chr3	34567890	true
READ_00079	HWI-ST5678	4	1108	9060	10050	chr3	34567890	true
READ_00080	HWI-ST5678	4	1108	9045	10035	chr3	34567890	true
READ_00081	HWI-ST5678	4	1108	9030	10020	chr3	34567890	true
READ_00082	HWI-ST5678	4	1108	11000	12000	chr4	45678901	true
READ_00083	HWI-ST5678	4	1108	11055	12040	chr4	45678901	true
READ_00084	HWI-ST5678	4	1108	11070	12030	chr4	45678901	true
READ_00085	HWI-ST5678	4	1108	13000	14000	chr5	56789012	true
READ_00086	HWI-ST5678	4	1108	13050	14045	chr5	56789012	true
READ_00087	HWI-ST5678	4	1108	13065	14030	chr5	56789012	true
READ_00088	HWI-ST5678	4	1108	15000	16000	chr6	67890123	true
READ_00089	HWI-ST5678	4	1108	17000	18000	chr7	78901234	true
READ_00090	HWI-ST5678	4	1108	17055	18045	chr7	78901234	true
READ_00091	HWI-ST5678	4	1108	19000	11000	chr8	89012345	true
READ_00092	HWI-ST5678	4	1108	12000	13000	chr9	90123456	true
READ_00093	HWI-ST5678	4	1108	14000	15000	chr10	11234567	true
READ_00094	HWI-ST5678	4	1108	16000	17000	chr11	22345678	true
READ_00095	HWI-ST5678	4	1108	18000	19000	chr12	33456789	true
READ_00096	HWI-ST5678	4	1108	10500	11500	chr1	44567890	true
READ_00097	HWI-ST5678	4	1108	10555	11545	chr1	44567890	true
READ_00098	HWI-ST5678	4	1108	10540	11530	chr1	44567890	true
READ_00099	HWI-ST5678	6	2201	5000	6000	chr1	12345678	true
READ_00100	HWI-ST5678	6	2201	8000	9000	chr2	23456789	true
READ_00101	HWI-ST5678	6	2201	10000	11000	chr3	34567890	true
READ_00102	HWI-ST5678	6	2201	10055	11045	chr3	34567890	true
READ_00103	HWI-ST5678	6	2201	12000	13000	chr4	45678901	true
READ_00104	HWI-ST5678	6	2201	14000	15000	chr5	56789012	true
READ_00105	HWI-ST5678	6	2201	16000	17000	chr6	67890123	true
READ_00106	HWI-ST5678	6	2201	18000	19000	chr7	78901234	true
READ_00107	HWI-ST5678	6	2201	11000	12000	chr8	89012345	true
READ_00108	HWI-ST5678	6	2201	13000	14000	chr9	90123456	true
READ_00109	HWI-ST5678	6	2201	15000	16000	chr10	11234567	true
READ_00110	HWI-ST5678	6	2201	17000	18000	chr11	22345678	true
READ_00111	HWI-ST5678	6	2201	19000	10000	chr12	33456789	true
READ_00112	HWI-ST5678	6	2201	10500	11500	chr1	44567890	true
READ_00113	HWI-ST5678	6	2201	12500	13500	chr2	55678901	true
READ_00114	HWI-ST5678	6	2201	14500	15500	chr3	66789012	true
READ_00115	HWI-ST5678	6	2201	16500	17500	chr4	77890123	true
READ_00116	HWI-ST5678	6	2201	18500	19500	chr5	88901234	true
READ_00117	HWI-ST5678	6	2201	11500	12500	chr6	99012345	true
READ_00118	HWI-ST5678	6	2201	13500	14500	chr7	10123456	true
READ_00119	HWI-ST5678	6	2201	15500	16500	chr8	21234567	true
READ_00120	HWI-ST1234	3	1101	5000	11000	chr1	98765432	true
READ_00121	HWI-ST1234	3	1101	6000	12000	chr2	87654321	true
READ_00122	HWI-ST1234	3	1101	7000	13000	chr3	76543210	true
READ_00123	HWI-ST1234	3	1101	8000	14000	chr4	65432109	true
READ_00124	HWI-ST1234	3	1101	9000	15000	chr5	54321098	true
READ_00125	HWI-ST5678	4	1108	12500	13500	chr2	55678901	true
READ_00126	HWI-ST5678	4	1108	14500	15500	chr3	66789012	true
READ_00127	HWI-ST5678	4	1108	16500	17500	chr4	77890123	true
READ_00128	HWI-ST1234	5	2316	18000	19000	chr8	89012345	true
READ_00129	HWI-ST1234	5	2316	10000	11000	chr9	90123456	true
READ_00130	HWI-ST1234	5	2316	12000	13000	chr10	11234567	true
READ_00131	HWI-ST1234	3	1101	5000	6500	chr13	12312312	true
READ_00132	HWI-ST1234	3	1101	6000	7500	chr14	23423423	true
READ_00133	HWI-ST1234	5	2316	11000	12000	chr11	22345678	true
READ_00134	HWI-ST1234	5	2316	13000	14000	chr12	33456789	true
READ_00135	HWI-ST5678	2	1205	15500	16500	chr8	21234567	true
READ_00136	HWI-ST5678	2	1205	17500	18500	chr9	32345678	true
READ_00137	HWI-ST5678	4	1108	18500	19500	chr5	88901234	true
READ_00138	HWI-ST5678	4	1108	11500	12500	chr6	99012345	true
READ_00139	HWI-ST5678	6	2201	10000	11000	chr9	43456789	true
READ_00140	HWI-ST5678	6	2201	12000	13000	chr10	54567890	true
READ_00141	HWI-ST1234	7	1101	5000	6000	chr1	12345678	true
READ_00142	HWI-ST1234	3	1101	7500	8500	chr15	34534534	true
READ_00143	HWI-ST1234	3	1101	8500	9500	chr16	45645645	true
READ_00144	HWI-ST1234	5	2316	14000	15000	chr13	44567890	true
READ_00145	HWI-ST5678	2	1205	10000	11000	chr11	65678901	true
READ_00146	HWI-ST5678	4	1108	13500	14500	chr7	10123456	true
READ_00147	HWI-ST5678	6	2201	14000	15000	chr11	76789012	true
READ_00148	HWI-ST1234	3	1101	9500	10500	chr17	56756756	true
READ_00149	HWI-ST1234	5	2316	15000	16000	chr14	55678901	true
READ_00150	HWI-ST5678	2	1205	12000	13000	chr12	87890123	true
READ_00151	HWI-ST5678	4	1108	15500	16500	chr8	21234567	true
READ_00152	HWI-ST5678	6	2201	16000	17000	chr12	98901234	true
READ_00153	HWI-ST1234	3	1101	10500	11500	chr18	67867867	true
READ_00154	HWI-ST1234	5	2316	16000	17000	chr15	66789012	true
READ_00155	HWI-ST5678	2	1205	14000	15000	chr13	99012345	true
READ_00156	HWI-ST5678	4	1108	17500	18500	chr9	32345678	true
READ_00157	HWI-ST5678	6	2201	18000	19000	chr13	10123456	true
READ_00158	HWI-ST1234	3	1101	11500	12500	chr19	78978978	true
READ_00159	HWI-ST1234	5	2316	17000	18000	chr16	77890123	true
READ_00160	HWI-ST5678	2	1205	16000	17000	chr14	11234567	true
READ_00161	HWI-ST5678	4	1108	19500	10500	chr10	43456789	true
READ_00162	HWI-ST5678	6	2201	11000	12000	chr14	22345678	true
READ_00163	HWI-ST1234	3	1101	12500	13500	chr20	89089089	true
READ_00164	HWI-ST1234	5	2316	18000	19000	chr17	88901234	true
READ_00165	HWI-ST5678	2	1205	18000	19000	chr15	33456789	true
READ_00166	HWI-ST5678	4	1108	10000	11000	chr11	54567890	true
READ_00167	HWI-ST5678	6	2201	13000	14000	chr15	44567890	true
READ_00168	HWI-ST1234	3	1101	13500	14500	chr21	90190190	true
READ_00169	HWI-ST1234	5	2316	19000	10000	chr18	99012345	true
READ_00170	HWI-ST5678	2	1205	10000	11000	chr16	55678901	true
READ_00171	HWI-ST5678	4	1108	12000	13000	chr12	65678901	true
READ_00172	HWI-ST5678	6	2201	15000	16000	chr16	66789012	true
READ_00173	HWI-ST1234	3	1101	14500	15500	chr22	11222333	true
READ_00174	HWI-ST5678	2	1205	12000	13000	chr17	77890123	true
READ_00175	HWI-ST5678	4	1108	14000	15000	chr13	87901234	true
READ_00176	HWI-ST5678	6	2201	17000	18000	chr17	88901234	true
READ_00177	HWI-ST1234	3	1101	15500	16500	chr1	22333444	true
READ_00178	HWI-ST5678	2	1205	14000	15000	chr18	99012345	true
READ_00179	HWI-ST5678	4	1108	16000	17000	chr14	10123456	true
READ_00180	HWI-ST5678	6	2201	19000	10000	chr18	11234567	true
