chr1	60000000	60005000	chr1	60050000	60055000	12	1.67	0.03
chr10	25000000	25005000	chr10	28000000	28005000	34	6.12	0.0002
chrX	35000000	35005000	chrX	37800000	37805000	19	3.12	0.005
chr2	50000000	50005000	chr2	53500000	53505000	24	4.23	0.0008
chr3	40000000	40005000	chr3	42500000	42505000	16	2.56	0.009
chr1	65000000	65005000	chr1	68000000	68005000	29	5.34	0.0004
chr10	30000000	30005000	chr10	30008000	30013000	8	1.23	0.16
chr2	55000000	55005000	chr2	58500000	58505000	31	5.78	0.0003
chrX	40000000	40005000	chrX	43000000	43005000	22	3.89	0.002
chr3	45000000	45005000	chr3	47800000	47805000	18	2.91	0.006
chr1	70000000	70005000	chr1	73500000	73505000	26	4.67	0.0006
chr10	35000000	35005000	chr10	37200000	37205000	15	2.23	0.0092
chr2	60000000	60005000	chr2	60100000	60105000	11	1.89	0.025
chrX	45000000	45005000	chrX	48000000	48005000	28	5.12	0.0004
chr3	50000000	50005000	chr3	53500000	53505000	20	3.45	0.003
chr1	75000000	75005000	chr1	78800000	78805000	23	4.12	0.001
chr10	40000000	40005000	chr10	43500000	43505000	32	5.89	0.0003
chr2	65000000	65005000	chr2	68000000	68005000	17	2.67	0.008
chr3	55000000	55005000	chr3	55008000	55013000	9	1.34	0.12
chrX	50000000	50005000	chrX	53500000	53505000	25	4.56	0.0007
chr1	80000000	80005000	chr1	83000000	83005000	21	3.78	0.004
chr10	45000000	45005000	chr10	48500000	48505000	19	3.23	0.005
chr2	70000000	70005000	chr2	73800000	73805000	30	5.45	0.0003
chr3	60000000	60005000	chr3	63000000	63005000	16	2.45	0.009
chr1	85000000	85005000	chr1	88500000	88505000	24	4.34	0.0008
chrX	55000000	55005000	chrX	55080000	55085000	13	1.98	0.014
chr10	50000000	50005000	chr10	53800000	53805000	27	4.98	0.0005
chr2	75000000	75005000	chr2	78500000	78505000	18	2.89	0.006
chr3	65000000	65005000	chr3	68000000	68005000	22	3.67	0.002
chr1	90000000	90005000	chr1	93500000	93505000	29	5.23	0.0004
chr10	55000000	55005000	chr10	55006000	55011000	7	0.89	0.2
chrX	60000000	60005000	chrX	63800000	63805000	26	4.78	0.0006
chr2	80000000	80005000	chr2	84000000	84005000	20	3.34	0.003
chr3	70000000	70005000	chr3	73500000	73505000	15	2.12	0.0096
chr1	95000000	95005000	chr1	98800000	98805000	33	6.12	0.0002
chr10	60000000	60005000	chr10	64000000	64005000	23	4.01	0.001
chr2	85000000	85005000	chr2	85100000	85105000	10	1.56	0.05
chrX	65000000	65005000	chrX	68500000	68505000	19	3.12	0.005
chr3	75000000	75005000	chr3	78800000	78805000	28	5.01	0.0004
chr1	100000000	100005000	chr1	104000000	104005000	21	3.56	0.004
chr10	65000000	65005000	chr10	69000000	69005000	25	4.45	0.0007
chr2	90000000	90005000	chr2	94500000	94505000	17	2.78	0.008
chr3	80000000	80005000	chr3	80008000	80013000	8	1.12	0.18
chrX	70000000	70005000	chrX	74000000	74005000	30	5.67	0.0003
chr1	105000000	105005000	chr1	109000000	109005000	22	3.89	0.002
chr10	70000000	70005000	chr10	74500000	74505000	16	2.56	0.009
chr2	95000000	95005000	chr2	99800000	99805000	27	4.89	0.0005
chr3	85000000	85005000	chr3	89000000	89005000	20	3.23	0.003
chr1	110000000	110005000	chr1	114500000	114505000	24	4.23	0.0008
chrX	75000000	75005000	chrX	75080000	75085000	12	1.78	0.022
chr10	75000000	75005000	chr10	80000000	80005000	31	5.78	0.0003
chr2	100000000	100005000	chr2	105000000	105005000	18	2.91	0.006
chr3	90000000	90005000	chr3	94500000	94505000	26	4.67	0.0006
chr1	115000000	115005000	chr1	120000000	120005000	35	6.45	0.0001
chr10	80000000	80005000	chr10	80007000	80012000	9	1.23	0.14
chrX	80000000	80005000	chrX	85000000	85005000	23	4.12	0.001
chr2	105000000	105005000	chr2	110500000	110505000	19	3.12	0.005
chr3	95000000	95005000	chr3	100000000	100005000	28	5.12	0.0004
chr1	120000000	120005000	chr1	126000000	126005000	21	3.67	0.003
chr10	85000000	85005000	chr10	90500000	90505000	25	4.56	0.0007
chr2	110000000	110005000	chr2	116000000	116005000	17	2.67	0.008
chrX	85000000	85005000	chrX	90800000	90805000	29	5.34	0.0004
chr3	100000000	100005000	chr3	106000000	106005000	22	3.78	0.002
chr1	125000000	125005000	chr1	132000000	132005000	32	5.89	0.0003
chr10	90000000	90005000	chr10	90050000	90055000	11	1.67	0.035
chr2	115000000	115005000	chr2	122000000	122005000	20	3.34	0.004
chrX	90000000	90005000	chrX	96500000	96505000	26	4.78	0.0006
chr3	105000000	105005000	chr3	112000000	112005000	18	2.89	0.006
chr1	130000000	130005000	chr1	138500000	138505000	24	4.34	0.0008
chr10	95000000	95005000	chr10	102000000	102005000	30	5.45	0.0003
chr2	120000000	120005000	chr2	128000000	128005000	16	2.45	0.009
chrX	95000000	95005000	chrX	103000000	103005000	27	4.98	0.0005
chr3	110000000	110005000	chr3	118500000	118505000	23	4.01	0.001
chr1	135000000	135005000	chr1	145000000	145005000	19	3.12	0.005
chr10	100000000	100005000	chr10	109000000	109005000	15	2.23	0.0094
chr2	125000000	125005000	chr2	135500000	135505000	28	5.12	0.0004
chrX	100000000	100005000	chrX	110800000	110805000	21	3.56	0.004
chr3	115000000	115005000	chr3	126000000	126005000	25	4.56	0.0007
