chr3	25000000	25005000	chr4	35000000	35005000	3.0
chr3	45000000	45005000	chr5	55000000	55005000	3.1
chr4	30000000	30005000	chr5	40000000	40005000	3.2
chr1	150000000	150005000	chr1	153500000	153505000	2.3
chr1	160000000	160005000	chr1	164000000	164005000	2.4
chr1	170000000	170005000	chr1	174500000	174505000	2.5
chr1	180000000	180005000	chr1	185000000	185005000	2.6
chr2	100000000	100005000	chr2	105500000	105505000	2.7
chr2	110000000	110005000	chr2	116000000	116005000	2.8
chr3	100000000	100005000	chr3	106500000	106505000	2.9
chr3	110000000	110005000	chr3	117000000	117005000	3.0
chr4	50000000	50005000	chr4	57500000	57505000	3.1
chr4	60000000	60005000	chr4	68000000	68005000	3.2
chr5	40000000	40005000	chr5	48500000	48505000	3.3
chr5	50000000	50005000	chr5	59000000	59005000	3.4
