chromosome	position	gene_name	variant_type	clinical_significance
chr13	48955781	RB1	nonsense	pathogenic
chr13	28610183	FLT3	missense	pathogenic
chr13	110000000	COL4A2	intergenic	benign
chr14	105246551	AKT1	missense	likely_pathogenic
chr14	68000000	RAD51B	intron	benign
chr15	66729158	MAP2K1	missense	pathogenic
chr15	90631838	IDH2	missense	pathogenic
chr15	48700000	FBN1	synonymous	benign
chr16	3778630	CREBBP	frameshift	likely_pathogenic
chr16	68835378	CDH1	missense	pathogenic
chr16	89805000	FANCA	intron	likely_benign
chr17	41244936	BRCA1	frameshift	pathogenic
chr17	7578406	TP53	missense	pathogenic
chr17	7577548	TP53	nonsense	pathogenic
chr17	7579472	TP53	missense	pathogenic
chr17	37880994	ERBB2	missense	uncertain
chr17	29556000	NF1	intron	benign
chr17	41245466	BRCA1	missense	pathogenic
chr17	41246481	BRCA1	missense	likely_pathogenic
chr17	7577120	TP53	missense	pathogenic
chr17	7578190	TP53	splice_site	pathogenic
chr17	59500000	BRIP1	intergenic	not_classified
chr18	48584855	SMAD4	missense	likely_pathogenic
chr18	51018300	MBD2	synonymous	benign
chr19	1220389	STK11	nonsense	pathogenic
chr19	50403658	POLD1	missense	uncertain
chr19	15300000	NOTCH3	intron	likely_benign
chr20	31022441	ASXL1	frameshift	likely_pathogenic
chr20	57484420	GNAS	missense	uncertain
chr20	36000000	PLCG1	intergenic	benign
chr21	44514278	RUNX1	missense	pathogenic
chr21	36000000	APP	synonymous	likely_benign
chr22	29091840	CHEK2	missense	likely_pathogenic
chr22	41574956	EP300	frameshift	pathogenic
chr22	23000000	IGLL5	intergenic	not_classified
chrX	123188379	STAG2	nonsense	pathogenic
chrX	48649771	GATA1	missense	uncertain
chrX	70348000	MED12	intron	likely_benign
chr1	155208000	GBA	synonymous	benign
chr2	47630000	MSH2	splice_site	pathogenic
chr2	47641559	MSH2	missense	likely_pathogenic
chr3	37034800	MLH1	frameshift	pathogenic
chr3	37034900	MLH1	missense	pathogenic
chr4	106157000	TET2	intron	benign
chr5	112162000	APC	utr_5prime	uncertain
chr6	26090000	HFE	missense	benign
chr7	5570000	ACTB	intergenic	not_classified
chr7	148500000	EZH2	synonymous	likely_benign
chr8	38000000	FGFR1	intron	benign
chr9	136500000	NOTCH1	missense	uncertain
chr10	89710000	PTEN	utr_3prime	uncertain
chr11	108115000	ATM	intron	likely_benign
chr12	56000000	STAT6	intergenic	not_classified
chr13	28608000	FLT3	splice_site	pathogenic
chr14	92537000	DICER1	missense	uncertain
chr15	41000000	SPRED1	intron	benign
chr16	2100000	TSC2	missense	likely_pathogenic
chr17	29530000	NF1	frameshift	pathogenic
chr17	37856000	ERBB2	missense	likely_pathogenic
chr18	29000000	DSC2	intergenic	benign
chr19	1221000	STK11	missense	pathogenic
chr20	31024000	ASXL1	intron	benign
chr21	36200000	RUNX1	synonymous	benign
chr22	29130000	SMARCB1	missense	likely_pathogenic
chrX	153760000	FLNA	intron	likely_benign
chr1	43820000	MPL	missense	pathogenic
chr2	198270000	SF3B1	synonymous	benign
chr3	10188000	VHL	missense	pathogenic
chr4	55600000	KIT	intron	benign
chr5	112179000	APC	missense	pathogenic
chr6	117215000	ROS1	intron	likely_benign
chr7	55250000	EGFR	utr_3prime	uncertain
chr8	128749000	MYC	intergenic	not_classified
chr9	133750000	ABL1	intron	benign
chr10	43615000	RET	missense	likely_pathogenic
chr11	534300	HRAS	missense	pathogenic
chr12	25398300	KRAS	missense	pathogenic
chr13	32915000	BRCA2	intron	benign
chr14	105250000	AKT1	synonymous	likely_benign
chr15	66730000	MAP2K1	intron	benign
chr16	68836000	CDH1	missense	likely_pathogenic
