snp_a,snp_b,r2,distance_kb
rs1000111,rs1000113,0.40,334.2
rs1000112,rs1000114,0.85,119.8
rs1000113,rs1000115,0.21,401.4
rs1000114,rs1000116,0.68,176.1
rs1000115,rs1000117,0.39,78.7
rs1000116,rs1000118,0.12,488.3
rs1000117,rs1000119,0.56,143.9
rs1000118,rs1000120,0.30,311.5
rs1000119,rs1000121,0.75,95.4
rs1000120,rs1000122,0.47,368.8
rs1000121,rs1000123,0.19,187.6
rs1000122,rs1000124,0.64,81.2
rs1000123,rs1000125,0.36,454.9
rs1000124,rs1000126,0.83,53.1
rs1000125,rs1000127,0.25,290.7
rs1000126,rs1000128,0.72,132.3
rs1000127,rs1000129,0.43,397.6
rs1000128,rs1000130,0.18,193.4
rs1000129,rs1000131,0.60,89.9
rs1000130,rs1000132,0.34,439.2
rs1000131,rs1000133,0.79,67.8
rs1000132,rs1000134,0.26,304.5
rs1000133,rs1000135,0.71,140.2
rs1000134,rs1000136,0.45,372.1
rs1000135,rs1000137,0.15,185.7
rs1000136,rs1000138,0.62,94.6
rs1000137,rs1000139,0.38,465.3
rs1000138,rs1000140,0.87,44.9
rs1000139,rs1000141,0.23,281.8
rs1000140,rs1000142,0.70,126.5
rs1000141,rs1000143,0.42,348.9
rs1000142,rs1000144,0.17,199.2
rs1000143,rs1000145,0.66,75.3
rs1000144,rs1000146,0.90,32.8
rs1000145,rs1000147,0.29,417.4
rs1000146,rs1000148,0.76,152.1
rs1000147,rs1000149,0.48,329.7
rs1000148,rs1000150,0.20,204.6
rs1000149,rs1000151,0.65,87.4
rs1000150,rs1000152,0.37,478.9
rs1000151,rs1000153,0.82,59.2
rs1000152,rs1000154,0.24,296.3
rs1000153,rs1000155,0.73,133.8
rs1000154,rs1000156,0.44,364.5
rs1000155,rs1000157,0.16,191.7
rs1000156,rs1000158,0.61,82.9
rs1000157,rs1000159,0.33,449.1
rs1000158,rs1000160,0.78,106.4
rs1000159,rs1000161,0.41,323.8
rs1000160,rs1000162,0.19,168.3
rs1000161,rs1000163,0.67,93.5
rs1000162,rs1000164,0.88,41.7
rs1000163,rs1000165,0.28,415.2
rs1000164,rs1000166,0.74,147.9
rs1000165,rs1000167,0.46,342.6
rs1000166,rs1000168,0.14,203.8
rs1000167,rs1000169,0.59,79.4
rs1000168,rs1000170,0.35,492.1
rs1000169,rs1000171,0.81,114.7
rs1000170,rs1000172,0.22,281.3
rs1000171,rs1000173,0.69,151.2
rs1000172,rs1000174,0.43,388.9
rs1000173,rs1000175,0.18,196.5
rs1000174,rs1000176,0.63,84.8
rs1000175,rs1000177,0.36,461.4
rs1000176,rs1000178,0.84,51.3
rs1000177,rs1000179,0.25,318.7
rs1000178,rs1000180,0.72,128.9
rs1000179,rs1000181,0.47,356.2
rs1000180,rs1000182,0.19,189.4
rs1000181,rs1000183,0.64,76.6
rs1000182,rs1000184,0.38,445.8
rs1000183,rs1000185,0.86,63.1
rs1000184,rs1000186,0.27,300.5
rs1000185,rs1000187,0.75,137.4
rs1000186,rs1000188,0.49,374.9
rs1000187,rs1000189,0.16,198.7
rs1000188,rs1000190,0.68,91.2
rs1000189,rs1000191,0.39,477.3
rs1000190,rs1000192,0.83,48.5
rs1000191,rs1000193,0.24,315.8
rs1000192,rs1000194,0.71,124.6
rs1000193,rs1000195,0.45,382.1
rs1000194,rs1000196,0.17,194.9
rs1000195,rs1000197,0.62,88.3
rs1000196,rs1000198,0.34,469.5
rs1000197,rs1000199,0.79,65.7
rs1000198,rs1000200,0.26,332.4
rs1000199,rs1000201,0.73,142.8
rs1000200,rs1000202,0.44,399.6
rs1000201,rs1000203,0.18,206.2
rs1000202,rs1000204,0.66,73.9
rs1000203,rs1000205,0.91,29.1
rs1000204,rs1000206,0.29,453.7
rs1000205,rs1000207,0.77,159.3
rs1000206,rs1000208,0.48,326.8
rs1000207,rs1000209,0.20,183.5
rs1000208,rs1000210,0.65,96.4
rs1000209,rs1000211,0.37,484.2
rs1000210,rs1000212,0.82,54.6
rs1000211,rs1000213,0.23,291.9
rs1000212,rs1000214,0.70,131.7
rs1000213,rs1000215,0.42,368.3
rs1000214,rs1000216,0.17,197.8
rs1000215,rs1000217,0.61,85.2
rs1000216,rs1000218,0.33,475.9
rs1000217,rs1000219,0.78,102.1
rs1000218,rs1000220,0.40,339.4
rs1000219,rs1000221,0.19,174.6
rs1000220,rs1000222,0.67,79.8
rs1000221,rs1000223,0.89,36.3
rs1000222,rs1000224,0.28,422.7
rs1000223,rs1000225,0.76,148.5
rs1000224,rs1000226,0.47,385.1
rs1000225,rs1000227,0.15,201.9
rs1000226,rs1000228,0.60,92.7
rs1000227,rs1000229,0.35,468.4
rs1000228,rs1000230,0.81,57.9
rs1000229,rs1000231,0.24,305.3
rs1000230,rs1000232,0.69,136.2
rs1000231,rs1000233,0.43,373.6
rs1000232,rs1000234,0.18,189.8
rs1000233,rs1000235,0.64,81.4
rs1000234,rs1000236,0.36,457.1
rs1000235,rs1000237,0.83,49.7
rs1000236,rs1000238,0.25,286.5
rs1000237,rs1000239,0.72,125.3
rs1000238,rs1000240,0.44,354.8
rs1000239,rs1000241,0.19,195.1
rs1000240,rs1000242,0.66,88.6
rs1000241,rs1000243,0.90,33.9
rs1000242,rs1000244,0.29,471.2
rs1000243,rs1000245,0.75,163.4
rs1000244,rs1000246,0.48,340.7
rs1000245,rs1000247,0.21,208.3
rs1000246,rs1000248,0.68,95.9
rs1000247,rs1000249,0.39,486.5
rs1000248,rs1000250,0.84,62.1
rs1000249,rs1000251,0.26,323.8
rs1000250,rs1000252,0.73,139.6
rs1000251,rs1000253,0.45,391.2
rs1000252,rs1000254,0.16,186.4
rs1000253,rs1000255,0.59,77.3
rs1000254,rs1000256,0.34,463.9
rs1000255,rs1000257,0.80,104.8
rs1000256,rs1000258,0.22,271.5
rs1000257,rs1000259,0.71,146.2
rs1000258,rs1000260,0.46,378.9
rs1000259,rs1000261,0.17,192.7
rs1000260,rs1000262,0.63,84.1
rs1000261,rs1000263,0.38,450.3
rs1000262,rs1000264,0.87,55.8
rs1000263,rs1000265,0.27,312.6
rs1000264,rs1000266,0.74,132.4
rs1000265,rs1000267,0.49,369.8
rs1000266,rs1000268,0.20,199.3
rs1000267,rs1000269,0.65,86.7
rs1000268,rs1000270,0.36,475.1
rs1000269,rs1000271,0.82,51.9
rs1000270,rs1000272,0.23,288.4
rs1000271,rs1000273,0.70,127.8
rs1000272,rs1000274,0.42,356.7
rs1000273,rs1000275,0.18,194.2
rs1000274,rs1000276,0.67,79.3
rs1000275,rs1000277,0.91,38.4
rs1000276,rs1000278,0.29,441.9
rs1000277,rs1000279,0.76,155.6
rs1000278,rs1000280,0.48,393.2
rs1000279,rs1000281,0.19,202.8
rs1000280,rs1000282,0.64,91.5
rs1000281,rs1000283,0.37,468.6
rs1000282,rs1000284,0.83,46.2
rs1000283,rs1000285,0.24,275.9
rs1000284,rs1000286,0.71,121.7
rs1000285,rs1000287,0.45,348.3
rs1000286,rs1000288,0.16,197.1
rs1000287,rs1000289,0.61,82.8
rs1000288,rs1000290,0.33,454.7
rs1000289,rs1000291,0.78,109.3
rs1000290,rs1000292,0.40,316.9
rs1000291,rs1000293,0.19,173.5
rs1000292,rs1000294,0.66,94.2
rs1000293,rs1000295,0.88,42.6
rs1000294,rs1000296,0.28,429.1
rs1000295,rs1000297,0.75,148.9
rs1000296,rs1000298,0.47,396.4
rs1000297,rs1000299,0.20,205.7
rs1000298,rs1000300,0.68,87.3
rs1000299,rs1000301,0.39,483.2
rs1000300,rs1000302,0.84,53.8
rs1000301,rs1000303,0.25,310.5
rs1000302,rs1000304,0.72,134.1
rs1000303,rs1000305,0.44,381.9
rs1000304,rs1000306,0.17,190.6
rs1000305,rs1000307,0.62,76.4
rs1000306,rs1000308,0.35,448.3
rs1000307,rs1000309,0.81,61.7
rs1000308,rs1000310,0.23,298.2
rs1000309,rs1000311,0.69,140.8
rs1000310,rs1000312,0.43,375.6
rs1000311,rs1000313,0.18,195.4
rs1000312,rs1000314,0.65,83.9
rs1000313,rs1000315,0.36,462.1
rs1000314,rs1000316,0.82,49.2
rs1000315,rs1000317,0.24,329.7
rs1000316,rs1000318,0.70,128.3
rs1000317,rs1000319,0.42,397.1
rs1000318,rs1000320,0.19,201.9
rs1000319,rs1000321,0.64,89.6
rs1000320,rs1000322,0.37,476.4
rs1000321,rs1000323,0.86,56.8
rs1000322,rs1000324,0.26,303.8
rs1000323,rs1000325,0.73,143.5
rs1000324,rs1000326,0.48,370.2
rs1000325,rs1000327,0.16,188.7
rs1000326,rs1000328,0.59,95.1
rs1000327,rs1000329,0.34,452.9
rs1000328,rs1000330,0.79,68.4
rs1000329,rs1000331,0.22,285.6
rs1000330,rs1000332,0.71,136.9
rs1000331,rs1000333,0.45,364.3
rs1000332,rs1000334,0.17,193.2
rs1000333,rs1000335,0.63,80.7
rs1000334,rs1000336,0.38,469.8
rs1000335,rs1000337,0.85,52.3
rs1000336,rs1000338,0.27,319.4
rs1000337,rs1000339,0.74,131.6
rs1000338,rs1000340,0.49,388.1
rs1000339,rs1000341,0.20,198.9
rs1000340,rs1000342,0.67,86.2
rs1000341,rs1000343,0.39,465.7
rs1000342,rs1000344,0.83,45.8
rs1000343,rs1000345,0.24,292.3
rs1000344,rs1000346,0.72,125.4
rs1000345,rs1000347,0.46,359.8
rs1000346,rs1000348,0.18,196.7
rs1000347,rs1000349,0.65,91.9
rs1000348,rs1000350,0.36,478.2
rs1000349,rs1000351,0.81,58.6
rs1000350,rs1000352,0.23,335.7
rs1000351,rs1000353,0.70,147.3
rs1000352,rs1000354,0.44,404.9
rs1000353,rs1000355,0.19,184.1
rs1000354,rs1000356,0.66,72.8
rs1000355,rs1000357,0.90,34.5
rs1000356,rs1000358,0.29,451.3
rs1000357,rs1000359,0.77,162.7
rs1000358,rs1000360,0.48,329.6
rs1000359,rs1000361,0.21,209.4
rs1000360,rs1000362,0.68,98.2
rs1000361,rs1000363,0.39,486.1
rs1000362,rs1000364,0.84,64.9
rs1000363,rs1000365,0.25,321.5
rs1000364,rs1000366,0.73,138.7
rs1000365,rs1000367,0.47,378.3
rs1000366,rs1000368,0.16,191.8
rs1000367,rs1000369,0.60,85.4
rs1000368,rs1000370,0.35,458.9
rs1000369,rs1000371,0.80,53.2
rs1000370,rs1000372,0.22,296.7
rs1000371,rs1000373,0.69,133.1
rs1000372,rs1000374,0.43,365.4
rs1000373,rs1000375,0.18,192.3
rs1000374,rs1000376,0.64,78.6
rs1000375,rs1000377,0.37,445.2
rs1000376,rs1000378,0.82,50.7
rs1000377,rs1000379,0.24,313.9
rs1000378,rs1000380,0.71,129.4
rs1000379,rs1000381,0.45,380.6
rs1000380,rs1000382,0.19,197.2
rs1000381,rs1000383,0.65,92.8
rs1000382,rs1000384,0.36,474.3
rs1000383,rs1000385,0.83,47.5
rs1000384,rs1000386,0.25,284.1
rs1000385,rs1000387,0.72,122.9
rs1000386,rs1000388,0.44,351.7
rs1000387,rs1000389,0.17,199.6
rs1000388,rs1000390,0.61,87.3
rs1000389,rs1000391,0.33,466.8
rs1000390,rs1000392,0.78,114.2
rs1000391,rs1000393,0.40,331.4
rs1000392,rs1000394,0.19,168.7
rs1000393,rs1000395,0.67,75.9
rs1000394,rs1000396,0.88,39.1
rs1000395,rs1000397,0.28,407.6
rs1000396,rs1000398,0.75,152.8
rs1000397,rs1000399,0.47,374.2
rs1000398,rs1000400,0.20,211.5
rs1000399,rs1000401,0.68,89.4
rs1000400,rs1000402,0.39,478.9
rs1000401,rs1000403,0.84,61.8
rs1000402,rs1000404,0.26,328.3
rs1000403,rs1000405,0.73,145.6
rs1000404,rs1000406,0.49,395.7
rs1000405,rs1000407,0.21,182.9
rs1000406,rs1000408,0.66,96.2
rs1000407,rs1000409,0.37,453.4
rs1000408,rs1000410,0.82,54.3
rs1000409,rs1000411,0.23,301.8
rs1000410,rs1000412,0.70,138.9
rs1000411,rs1000413,0.42,368.6
rs1000412,rs1000414,0.18,194.7
rs1000413,rs1000415,0.64,81.5
rs1000414,rs1000416,0.35,461.2
rs1000415,rs1000417,0.81,48.9
rs1000416,rs1000418,0.24,318.6
rs1000417,rs1000419,0.69,127.3
rs1000418,rs1000420,0.43,385.1
rs1000419,rs1000421,0.19,201.4
rs1000420,rs1000422,0.65,88.7
rs1000421,rs1000423,0.36,468.9
rs1000422,rs1000424,0.83,55.2
rs1000423,rs1000425,0.25,305.4
rs1000424,rs1000426,0.72,142.8
rs1000425,rs1000427,0.44,372.9
rs1000426,rs1000428,0.17,189.3
rs1000427,rs1000429,0.62,94.6
rs1000428,rs1000430,0.38,456.2
rs1000429,rs1000431,0.87,66.1
rs1000430,rs1000432,0.27,323.7
rs1000431,rs1000433,0.74,150.4
rs1000432,rs1000434,0.48,390.8
rs1000433,rs1000435,0.20,207.2
rs1000434,rs1000436,0.67,92.9
rs1000435,rs1000437,0.39,484.3
rs1000436,rs1000438,0.84,51.6
rs1000437,rs1000439,0.24,291.9
rs1000438,rs1000440,0.71,134.2
rs1000439,rs1000441,0.45,361.5
rs1000440,rs1000442,0.18,198.8
rs1000441,rs1000443,0.63,85.3
rs1000442,rs1000444,0.36,472.6
rs1000443,rs1000445,0.80,59.7
rs1000444,rs1000446,0.22,338.1
rs1000445,rs1000447,0.69,146.9
rs1000446,rs1000448,0.43,405.4
rs1000447,rs1000449,0.19,193.6
rs1000448,rs1000450,0.66,77.8
rs1000449,rs1000451,0.91,31.2
rs1000450,rs1000452,0.29,418.7
rs1000451,rs1000453,0.76,155.3
rs1000452,rs1000454,0.48,385.9
rs1000453,rs1000455,0.21,202.4
rs1000454,rs1000456,0.68,90.1
rs1000455,rs1000457,0.39,469.8
rs1000456,rs1000458,0.85,46.7
rs1000457,rs1000459,0.26,307.2
rs1000458,rs1000460,0.73,141.6
rs1000459,rs1000461,0.47,374.8
rs1000460,rs1000462,0.16,188.9
rs1000461,rs1000463,0.61,83.4
rs1000462,rs1000464,0.34,456.3
rs1000463,rs1000465,0.79,68.2
rs1000464,rs1000466,0.23,325.6
rs1000465,rs1000467,0.70,135.7
rs1000466,rs1000468,0.42,392.1
rs1000467,rs1000469,0.18,199.5
rs1000468,rs1000470,0.65,86.9
rs1000469,rs1000471,0.37,463.4
rs1000470,rs1000472,0.82,52.8
rs1000471,rs1000473,0.24,300.9
rs1000472,rs1000474,0.71,130.3
rs1000473,rs1000475,0.45,367.6
rs1000474,rs1000476,0.19,196.1
rs1000475,rs1000477,0.64,79.5
rs1000476,rs1000478,0.36,442.7
rs1000477,rs1000479,0.83,44.9
rs1000478,rs1000480,0.25,318.3
rs1000479,rs1000481,0.72,126.8
rs1000480,rs1000482,0.44,385.7
rs1000481,rs1000483,0.17,193.4
rs1000482,rs1000484,0.62,91.2
rs1000483,rs1000485,0.38,470.9
rs1000484,rs1000486,0.78,107.6
rs1000485,rs1000487,0.41,337.2
rs1000486,rs1000488,0.19,174.8
rs1000487,rs1000489,0.67,82.1
rs1000488,rs1000490,0.89,36.5
rs1000489,rs1000491,0.28,414.6
rs1000490,rs1000492,0.75,149.9
rs1000491,rs1000493,0.46,382.3
rs1000492,rs1000494,0.20,206.7
rs1000493,rs1000495,0.68,93.4
rs1000494,rs1000496,0.39,479.1
rs1000495,rs1000497,0.84,60.2
rs1000496,rs1000498,0.26,327.8
rs1000497,rs1000499,0.73,144.3
rs1000498,rs1000500,0.49,391.5
rs1000001,rs1000004,0.76,112.8
rs1000002,rs1000005,0.31,287.4
rs1000003,rs1000006,0.89,67.9
rs1000004,rs1000007,0.54,198.3
rs1000005,rs1000008,0.13,455.7
rs1000006,rs1000009,0.72,124.6
rs1000007,rs1000010,0.38,341.2
rs1000008,rs1000011,0.61,156.9
rs1000009,rs1000012,0.27,403.5
rs1000010,rs1000013,0.84,73.8
rs1000011,rs1000014,0.42,240.1
rs1000012,rs1000015,0.19,486.4
rs1000013,rs1000016,0.70,108.3
rs1000014,rs1000017,0.45,275.9
rs1000015,rs1000018,0.11,447.2
rs1000016,rs1000019,0.58,181.5
rs1000017,rs1000020,0.33,358.8
rs1000018,rs1000021,0.77,92.7
rs1000019,rs1000022,0.49,269.3
rs1000020,rs1000023,0.15,431.6
rs1000021,rs1000024,0.66,137.9
rs1000022,rs1000025,0.40,304.2
rs1000023,rs1000026,0.12,476.8
rs1000024,rs1000027,0.55,170.4
rs1000025,rs1000028,0.29,347.1
rs1000026,rs1000029,0.81,118.5
rs1000027,rs1000030,0.52,285.9
rs1000028,rs1000031,0.18,462.3
rs1000029,rs1000032,0.69,153.8
rs1000030,rs1000033,0.43,320.4
rs1000031,rs1000034,0.14,487.9
rs1000032,rs1000035,0.60,186.2
rs1000033,rs1000036,0.35,363.6
rs1000034,rs1000037,0.78,129.1
rs1000035,rs1000038,0.50,296.7
rs1000036,rs1000039,0.16,473.2
rs1000037,rs1000040,0.63,164.5
rs1000038,rs1000041,0.37,331.9
rs1000039,rs1000042,0.10,499.3
rs1000040,rs1000043,0.57,202.8
rs1000041,rs1000044,0.32,379.4
rs1000042,rs1000045,0.75,145.9
rs1000043,rs1000046,0.48,312.6
rs1000044,rs1000047,0.17,489.1
rs1000045,rs1000048,0.64,177.3
rs1000046,rs1000049,0.39,344.8
rs1000047,rs1000050,0.86,121.4
rs1000048,rs1000051,0.53,288.9
rs1000049,rs1000052,0.20,465.3
rs1000050,rs1000053,0.71,158.7
rs1000051,rs1000054,0.44,325.2
rs1000052,rs1000055,0.13,492.8
rs1000053,rs1000056,0.62,190.1
rs1000054,rs1000057,0.36,367.6
rs1000055,rs1000058,0.79,134.2
rs1000056,rs1000059,0.51,301.8
rs1000057,rs1000060,0.18,478.3
rs1000058,rs1000061,0.67,171.9
rs1000059,rs1000062,0.41,339.4
rs1000060,rs1000063,0.15,496.8
rs1000061,rs1000064,0.59,195.3
rs1000062,rs1000065,0.34,372.8
rs1000063,rs1000066,0.77,140.4
rs1000064,rs1000067,0.50,308.1
rs1000065,rs1000068,0.19,485.6
rs1000066,rs1000069,0.68,183.2
rs1000067,rs1000070,0.42,350.7
rs1000068,rs1000071,0.11,487.1
rs1000069,rs1000072,0.56,166.8
rs1000070,rs1000073,0.31,343.4
rs1000071,rs1000074,0.74,127.9
rs1000072,rs1000075,0.47,295.5
rs1000073,rs1000076,0.16,472.1
rs1000074,rs1000077,0.65,175.6
rs1000075,rs1000078,0.38,352.2
rs1000076,rs1000079,0.82,119.8
rs1000077,rs1000080,0.54,287.3
rs1000078,rs1000081,0.21,464.9
rs1000079,rs1000082,0.70,162.4
rs1000080,rs1000083,0.45,329.8
rs1000081,rs1000084,0.14,497.3
rs1000082,rs1000085,0.61,188.9
rs1000083,rs1000086,0.35,366.4
rs1000084,rs1000087,0.80,131.5
rs1000085,rs1000088,0.52,299.1
rs1000086,rs1000089,0.17,476.6
rs1000087,rs1000090,0.66,169.2
rs1000088,rs1000091,0.40,346.7
rs1000089,rs1000092,0.12,484.1
rs1000090,rs1000093,0.58,180.8
rs1000091,rs1000094,0.33,357.3
rs1000092,rs1000095,0.76,125.4
rs1000093,rs1000096,0.49,292.9
rs1000094,rs1000097,0.18,469.4
rs1000095,rs1000098,0.67,172.1
rs1000096,rs1000099,0.41,348.6
rs1000097,rs1000100,0.85,116.2
rs1000098,rs1000101,0.55,283.7
rs1000099,rs1000102,0.22,460.2
rs1000100,rs1000103,0.71,157.8
rs1000101,rs1000104,0.46,335.3
rs1000102,rs1000105,0.15,492.8
rs1000103,rs1000106,0.64,184.9
rs1000104,rs1000107,0.37,362.4
rs1000105,rs1000108,0.79,128.1
rs1000106,rs1000109,0.51,305.6
rs1000107,rs1000110,0.19,483.1
rs1000108,rs1000111,0.68,176.7
rs1000109,rs1000112,0.42,354.2
rs1000110,rs1000113,0.13,491.6
rs1000111,rs1000114,0.60,193.3
rs1000112,rs1000115,0.35,370.8
rs1000113,rs1000116,0.78,137.9
rs1000114,rs1000117,0.50,315.4
rs1000115,rs1000118,0.20,492.9
rs1000116,rs1000119,0.69,165.1
rs1000117,rs1000120,0.43,342.6
rs1000118,rs1000121,0.11,479.1
rs1000119,rs1000122,0.57,186.7
rs1000120,rs1000123,0.32,364.2
rs1000121,rs1000124,0.75,133.8
rs1000122,rs1000125,0.48,311.3
rs1000123,rs1000126,0.17,488.8
rs1000124,rs1000127,0.66,181.4
rs1000125,rs1000128,0.39,359.9
rs1000126,rs1000129,0.83,126.5
rs1000127,rs1000130,0.53,294.1
rs1000128,rs1000131,0.21,471.6
rs1000129,rs1000132,0.72,168.2
rs1000130,rs1000133,0.44,345.7
rs1000131,rs1000134,0.14,483.1
rs1000132,rs1000135,0.63,190.8
rs1000133,rs1000136,0.36,368.3
rs1000134,rs1000137,0.81,135.9
rs1000135,rs1000138,0.54,313.4
rs1000136,rs1000139,0.18,490.9
rs1000137,rs1000140,0.67,174.6
rs1000138,rs1000141,0.41,352.1
rs1000139,rs1000142,0.87,119.7
rs1000140,rs1000143,0.56,287.2
rs1000141,rs1000144,0.23,464.7
rs1000142,rs1000145,0.73,162.3
rs1000143,rs1000146,0.47,339.8
rs1000144,rs1000147,0.16,487.2
rs1000145,rs1000148,0.65,184.9
rs1000146,rs1000149,0.38,362.4
rs1000147,rs1000150,0.80,129.1
rs1000148,rs1000151,0.52,306.6
rs1000149,rs1000152,0.19,484.1
rs1000150,rs1000153,0.69,177.7
rs1000151,rs1000154,0.42,355.2
rs1000152,rs1000155,0.12,492.6
rs1000153,rs1000156,0.60,194.3
rs1000154,rs1000157,0.35,371.8
rs1000155,rs1000158,0.78,138.9
rs1000156,rs1000159,0.51,316.4
rs1000157,rs1000160,0.20,493.9
rs1000158,rs1000161,0.70,166.1
rs1000159,rs1000162,0.44,343.6
rs1000160,rs1000163,0.11,480.1
rs1000161,rs1000164,0.58,187.7
rs1000162,rs1000165,0.33,365.2
rs1000163,rs1000166,0.76,134.8
rs1000164,rs1000167,0.49,312.3
rs1000165,rs1000168,0.17,489.8
rs1000166,rs1000169,0.67,182.4
rs1000167,rs1000170,0.40,360.9
rs1000168,rs1000171,0.84,127.5
rs1000169,rs1000172,0.55,295.1
rs1000170,rs1000173,0.22,472.6
rs1000171,rs1000174,0.71,169.2
rs1000172,rs1000175,0.45,346.7
rs1000173,rs1000176,0.15,484.1
rs1000174,rs1000177,0.64,191.8
rs1000175,rs1000178,0.37,369.3
rs1000176,rs1000179,0.82,136.9
rs1000177,rs1000180,0.53,314.4
rs1000178,rs1000181,0.18,491.9
rs1000179,rs1000182,0.68,175.6
rs1000180,rs1000183,0.41,353.1
rs1000181,rs1000184,0.13,490.5
rs1000182,rs1000185,0.59,196.8
rs1000183,rs1000186,0.34,374.3
rs1000184,rs1000187,0.77,141.9
rs1000185,rs1000188,0.50,319.4
rs1000186,rs1000189,0.21,496.9
rs1000187,rs1000190,0.72,164.1
rs1000188,rs1000191,0.46,351.6
rs1000189,rs1000192,0.16,489.1
rs1000190,rs1000193,0.65,186.7
rs1000191,rs1000194,0.38,364.2
rs1000192,rs1000195,0.81,131.8
rs1000193,rs1000196,0.54,309.3
rs1000194,rs1000197,0.19,486.8
rs1000195,rs1000198,0.70,179.4
rs1000196,rs1000199,0.43,357.9
rs1000197,rs1000200,0.88,124.5
rs1000198,rs1000201,0.57,292.1
